Core Subjects Percentage,Logical quotient rating,hackathons,coding skills rating,public speaking points,reading and writing skills,status
73.75,7,1,2,3,0,not placed
63.75,2,2,8,6,1,not placed
71.5,5,3,6,5,0,not placed
72.5,6,2,3,8,0,not placed
73.25,7,6,5,8,1,not placed
70.25,9,6,3,4,1,not placed
70.75,5,0,2,5,1,not placed
72,8,3,2,8,2,not placed
71.25,9,6,4,5,1,not placed
73.75,9,5,7,6,2,not placed
74.75,7,4,7,5,2,not placed
71,9,0,2,5,2,not placed
69,8,5,7,4,2,not placed
71.75,8,0,4,7,1,not placed
70,3,2,6,7,1,not placed
78.75,7,4,8,1,0,placed
70,9,0,5,8,0,not placed
73.25,5,6,8,4,0,not placed
70,7,4,2,9,0,not placed
72.75,4,3,2,4,0,not placed
65,6,3,7,8,0,not placed
74.25,9,6,1,7,0,not placed
70.75,5,0,7,9,2,not placed
67,7,0,4,4,0,not placed
82,6,5,6,5,1,placed
73.75,1,3,6,5,0,not placed
74.25,7,0,4,6,1,not placed
70,3,2,7,4,2,not placed
74.75,4,5,6,1,0,not placed
70.75,5,4,7,8,1,not placed
70.25,5,6,3,1,1,not placed
73,6,0,3,4,2,not placed
74.75,6,0,1,1,1,not placed
74.25,4,5,5,2,0,not placed
84,6,5,6,8,0,placed
82.75,7,6,7,8,0,placed
73.5,9,1,7,6,2,not placed
70.75,5,5,6,3,2,not placed
74.75,1,2,8,2,1,not placed
72,1,3,7,2,1,not placed
73.5,2,6,2,5,2,not placed
72.25,7,6,4,3,2,not placed
74.75,2,1,8,8,2,not placed
79.5,8,5,7,6,1,placed
71.75,9,5,8,8,0,not placed
74.5,7,5,1,7,0,not placed
73,2,2,5,6,1,not placed
84.5,8,5,8,6,0,placed
69.25,6,3,4,3,2,not placed
73.5,6,5,4,7,2,not placed
67.25,6,2,1,9,0,not placed
67.75,4,1,7,3,0,not placed
77.5,8,5,7,6,1,placed
72.75,1,5,2,8,2,not placed
74,9,3,1,9,0,not placed
71,2,2,6,6,0,not placed
72.75,7,4,3,5,1,not placed
73.25,3,5,5,9,1,not placed
74.75,1,6,6,8,0,not placed
